	0	1
186	bar	O
187	wang	O
188	rice	O
189	@	O
190	per	O
191	##mas	O
192	jaya	O
193	(	O
194	price	O
195	inclusive	O
196	of	O
197	gs	O
198	##t	O
199	)	O
200	thank	O
201	you	O
202	&	O
203	come	O
204	again	O
205	!	O
206	like	O
207	and	O
208	follow	O
209	us	O
210	on	O
211	facebook	O
212	!	O
213	facebook	O
214	.	O
215	com	O
216	/	O
217	bar	O
218	##wang	O
219	##rice	O
220		
0	un	B-COMPANY
1	##ih	I-COMPANY
2	##ak	I-COMPANY
3	##ka	I-COMPANY
4	international	I-COMPANY
5	sd	I-COMPANY
6	##n	I-COMPANY
7	b	I-COMPANY
8	##hd	I-COMPANY
9	03	I-COMPANY
10	apr	I-COMPANY
11	2018	B-TOTAL
12	18	I-TOTAL
13	:	I-TOTAL
14	33	I-TOTAL
15	(	I-TOTAL
16	86	O
17	##7	O
18	##38	O
19	##8	O
20	-	O
21	u	O
22	)	O
23	12	O
24	,	O
25	jalan	O
26	tam	O
27	##po	B-ADDRESS
28	##i	I-ADDRESS
29	7	I-ADDRESS
30	/	I-ADDRESS
31	4	I-ADDRESS
32	,	I-ADDRESS
33	ka	I-ADDRESS
34	##was	I-ADDRESS
35	##an	I-ADDRESS
36	per	I-ADDRESS
37	##ind	I-ADDRESS
38	##ust	I-ADDRESS
39	##rian	I-ADDRESS
40	tam	I-ADDRESS
41	##po	I-ADDRESS
42	##i	I-ADDRESS
43	,	I-ADDRESS
44	81	I-ADDRESS
45	##200	I-ADDRESS
46	johor	I-ADDRESS
47	ba	I-ADDRESS
48	##hr	I-ADDRESS
49	##u	I-ADDRESS
50	,	I-ADDRESS
51	johor	I-ADDRESS
52	taxi	I-ADDRESS
53	##n	I-ADDRESS
54	##vo	I-ADDRESS
55	##ice	I-ADDRESS
56	in	I-ADDRESS
57	##vo	I-ADDRESS
58	##ice	I-ADDRESS
59	#	O
60	:	O
61	or	O
62	##18	O
63	##0	O
64	##40	O
65	##30	O
66	##21	O
67	##60	O
68	##39	O
69	##7	O
70	item	O
71	q	O
72	##ty	O
73	total	O
74	sr	O
75	i	O
76	##00	O
77	##100	O
78	##00	O
79	##00	O
80	##35	O
81	-	O
82	1	O
83	meat	O
84	+	O
85	3	O
86	ve	O
87	##ge	O
88	$	O
89	7	O
90	.	O
91	10	O
92	1	O
93	$	O
94	7	O
95	.	O
96	10	O
97	total	O
98	amount	O
99	:	O
100	$	O
101	7	O
102	.	O
103	10	O
104	gs	O
105	##t	O
106	@	O
107	6	O
108	%	O
109	:	O
110	$	O
111	0	O
112	.	O
113	40	O
114	net	O
115	##t	O
116	total	O
117	:	O
118	$	O
119	7	O
120	.	O
121	10	O
122	payment	O
123	mode	O
124	amount	O
125	cash	O
126	$	O
127	7	O
128	.	O
129	10	O
130	change	O
131	$	O
132	0	O
133	.	O
134	00	O
135	gs	O
136	##t	O
137	summary	O
138	amount	O
139	(	O
140	$	O
141	)	O
142	tax	O
143	(	O
144	$	O
145	)	O
146	sr	O
147	=	O
148	gs	O
149	##t	O
150	@	O
151	6	O
152	%	O
153	6	O
154	.	O
155	70	O
156	0	O
157	.	O
158	40	O
159	gs	O
160	##t	O
161	reg	O
162	#	O
163	000	O
164	##65	O
165	##6	O
166	##19	O
167	##55	O
168	##8	O
169	##4	O
170	bar	O
171	wang	O
172	rice	O
173	@	O
174	per	O
175	##mas	O
176	jaya	O
177	(	O
178	price	O
179	inclusive	O
180	of	O
181	gs	O
182	##t	O
183	)	O
184	thank	O
185	you	O
186	&	O
187	come	O
188	again	O
189	!	O
190	like	O
191	and	O
192	follow	O
193	us	O
194	on	O
195	facebook	O
196	!	O
197	facebook	O
198	.	O
199	com	O
200	/	O
201	bar	O
202	##wang	O
203	##rice	O
204		
0	as	B-COMPANY
1	##o	I-COMPANY
2	electrical	I-COMPANY
3	trading	I-COMPANY
4	sd	I-COMPANY
5	##n	I-COMPANY
6	b	I-COMPANY
7	##hd	I-COMPANY
8	1000	I-COMPANY
9	##13	O
10	##1	O
11	-	O
12	k	O
13	no	O
14	31	O
15	##g	O
16	,	O
17	jalan	B-ADDRESS
18	sep	I-ADDRESS
19	##ad	I-ADDRESS
20	##u	I-ADDRESS
21	c	I-ADDRESS
22	25	I-ADDRESS
23	/	I-ADDRESS
24	c	I-ADDRESS
25	.	I-ADDRESS
26	section	I-ADDRESS
27	25	I-ADDRESS
28	,	I-ADDRESS
29	tam	I-ADDRESS
30	##an	I-ADDRESS
31	id	I-ADDRESS
32	##ust	I-ADDRESS
33	##ries	I-ADDRESS
34	.	I-ADDRESS
35	axis	I-ADDRESS
36	404	I-ADDRESS
37	##00	I-ADDRESS
38	shah	I-ADDRESS
39	alam	I-ADDRESS
40	,	I-ADDRESS
41	selangor	I-ADDRESS
42	fa	I-ADDRESS
43	##x	I-ADDRESS
44	:	I-ADDRESS
45	03	I-ADDRESS
46	-	I-ADDRESS
47	512	I-ADDRESS
48	##15	I-ADDRESS
49	##7	I-ADDRESS
50	##16	I-ADDRESS
51	tel	I-ADDRESS
52	:	I-ADDRESS
53	03	I-ADDRESS
54	-	O
55	512	O
56	##21	O
57	##70	O
58	##1	O
59	,	O
60	51	O
61	##31	O
62	##30	O
63	##9	O
64	##1	O
65	gs	O
66	##t	O
67	no	O
68	:	O
69	000	O
70	##6	O
71	##8	O
72	##39	O
73	##00	O
74	##9	O
75	##28	O
76	tax	O
77	in	O
78	##vo	O
79	##ice	O
80	bill	O
81	to	O
82	:	O
83	receipt	O
84	#	O
85	:	O
86	cs	O
87	##00	O
88	##0	O
89	##9	O
90	##30	O
91	##9	O
92	##1	O
93	date	O
94	:	O
95	04	O
96	/	O
97	12	O
98	/	O
99	2017	O
100	time	O
101	:	O
102	11	O
103	:	O
104	29	O
105	:	O
106	00	O
107	sales	O
108	##person	O
109	:	O
110	cash	O
111	##ier	B-TOTAL
112	:	I-TOTAL
113	user	I-TOTAL
114	(	O
115	gs	O
116	##t	O
117	)	O
118	(	O
119	gs	O
120	##t	O
121	)	O
122	it	O
123	##er	O
124	##m	O
125	q	O
126	##ty	O
127	1	O
128	rs	O
129	##p	O
130	44	O
131	.	O
132	40	O
133	47	O
134	.	O
135	06	O
136	rs	O
137	##p	O
138	amount	O
139	47	O
140	.	O
141	06	O
142	102	O
143	##7	O
144	##49	O
145	sr	O
146	:	O
147	fuji	O
148	contact	O
149	##or	O
150	,	O
151	sc	O
152	-	O
153	03	O
154	,	O
155	240	O
156	##vac	O
157	1	O
158	49	O
159	.	O
160	00	O
161	51	O
162	.	O
163	94	O
164	51	O
165	.	O
166	94	O
167	106	O
168	##7	O
169	##66	O
170	sr	O
171	:	O
172	an	O
173	##ly	O
174	float	O
175	##less	O
176	relay	O
177	240	O
178	##v	O
179	.	O
180	af	O
181	##s	O
182	-	O
183	1	O
184	99	O
185	.	O
186	00	O
187	to	O
188	##t	O
189	q	O
190	##ty	O
191	:	O
192	2	O
193	93	O
194	.	O
195	40	O
196	(	O
197	excluded	O
198	gs	O
199	##t	O
200	)	O
201	sub	O
202	total	O
203	:	O
204	0	O
205	.	O
206	00	O
207	discount	O
208	:	O
209	5	O
210	.	O
211	60	O
212	total	O
213	gs	O
214	##t	O
215	:	O
216	0	O
217	.	O
218	00	O
219	rounding	O
220	:	O
221	99	O
222	.	O
223	00	O
224	total	O
225	:	O
226	100	O
227	.	O
228	00	O
229	cash	O
230	:	O
231	1	O
232	.	O
233	00	O
234	change	O
235	:	O
236	gs	O
237	##t	O
238	summary	O
239	gs	O
240	##t	O
241	tax	O
242	code	O
243	%	O
244	amount	O
245	93	O
246	.	O
247	40	O
248	5	O
249	.	O
250	60	O
251	sr	O
252	6	O
253	93	O
254	.	O
255	40	O
256	5	O
257	.	O
258	60	O
259	total	O
260	:	O
261	goods	O
262	sold	O
263	are	O
264	not	O
265	return	O
266	##able	O
267	,	O
268	thank	O
269	you	O
270	.	O
271		
0	rest	B-COMPANY
1	##oran	I-COMPANY
2	wan	I-COMPANY
3	sheng	I-COMPANY
4	00	I-COMPANY
5	##20	O
6	##43	O
7	##31	O
8	##9	O
9	-	O
10	w	O
11	no	O
12	.	O
13	2	O
14	,	B-ADDRESS
15	jalan	I-ADDRESS
16	te	I-ADDRESS
17	##men	I-ADDRESS
18	##gg	I-ADDRESS
19	##ung	I-ADDRESS
20	19	I-ADDRESS
21	/	I-ADDRESS
22	9	I-ADDRESS
23	,	I-ADDRESS
24	se	I-ADDRESS
25	##ks	I-ADDRESS
26	##yen	I-ADDRESS
27	9	I-ADDRESS
28	,	I-ADDRESS
29	banda	I-ADDRESS
30	##r	I-ADDRESS
31	ma	I-ADDRESS
32	##h	I-ADDRESS
33	##kota	I-ADDRESS
34	cher	I-ADDRESS
35	##as	I-ADDRESS
36	,	I-ADDRESS
37	43	I-ADDRESS
38	##200	I-ADDRESS
39	cher	I-ADDRESS
40	##as	I-ADDRESS
41	,	I-ADDRESS
42	selangor	I-ADDRESS
43	gs	I-ADDRESS
44	##t	I-ADDRESS
45	reg	I-ADDRESS
46	no	I-ADDRESS
47	:	I-ADDRESS
48	001	I-ADDRESS
49	##33	I-ADDRESS
50	##57	I-ADDRESS
51	##8	O
52	##75	O
53	##20	O
54	tax	O
55	in	O
56	##vo	O
57	##ice	O
58	in	O
59	##v	O
60	no	O
61	.	O
62	:	O
63	112	O
64	##85	O
65	##0	O
66	##7	O
67	cash	O
68	##ier	O
69	:	O
70	than	O
71	##dar	O
72	date	O
73	:	O
74	06	O
75	-	O
76	05	O
77	-	O
78	2018	O
79	12	O
80	:	O
81	43	O
82	:	O
83	19	O
84	description	O
85	q	O
86	##ty	B-TOTAL
87	u	I-TOTAL
88	.	I-TOTAL
89	price	I-TOTAL
90	total	I-TOTAL
91	tax	O
92	ko	O
93	##pi	O
94	(	O
95	b	O
96	)	O
97	1	O
98	x	O
99	2	O
100	.	O
101	20	O
102	2	O
103	.	O
104	20	O
105	sr	O
106	take	O
107	away	O
108	1	O
109	x	O
110	0	O
111	.	O
112	20	O
113	0	O
114	.	O
115	20	O
116	sr	O
117	total	O
118	q	O
119	##ty	O
120	:	O
121	2	O
122	total	O
123	(	O
124	excluding	O
125	gs	O
126	##t	O
127	)	O
128	:	O
129	2	O
130	.	O
131	27	O
132	gs	O
133	##t	O
134	pay	O
135	##able	O
136	(	O
137	6	O
138	%	O
139	)	O
140	:	O
141	0	O
142	.	O
143	13	O
144	total	O
145	(	O
146	inclusive	O
147	of	O
148	gs	O
149	##t	O
150	)	O
151	:	O
152	2	O
153	.	O
154	40	O
155	total	O
156	:	O
157	2	O
158	.	O
159	40	O
160	2	O
161	.	O
162	40	O
163	gs	O
164	##t	O
165	summary	O
166	amount	O
167	(	O
168	rm	O
169	)	O
170	tax	O
171	(	O
172	rm	O
173	)	O
174	sr	O
175	(	O
176	@	O
177	6	O
178	%	O
179	)	O
180	2	O
181	.	O
182	27	O
183	0	O
184	.	O
185	13	O
186		
0	sy	B-COMPANY
1	##ari	I-COMPANY
2	##kat	I-COMPANY
3	per	I-COMPANY
4	##nia	I-COMPANY
5	##ga	I-COMPANY
6	##an	I-COMPANY
7	gin	I-COMPANY
8	ke	I-COMPANY
9	##e	I-COMPANY
10	(	I-COMPANY
11	81	I-COMPANY
12	##10	O
13	##9	O
14	-	O
15	a	O
16	)	O
17	no	O
18	290	O
19	,	B-ADDRESS
20	jalan	I-ADDRESS
21	air	I-ADDRESS
22	pan	I-ADDRESS
23	##as	I-ADDRESS
24	,	I-ADDRESS
25	set	I-ADDRESS
26	##apa	I-ADDRESS
27	##k	I-ADDRESS
28	,	I-ADDRESS
29	53	I-ADDRESS
30	##200	I-ADDRESS
31	,	I-ADDRESS
32	kuala	I-ADDRESS
33	lumpur	I-ADDRESS
34	tel	I-ADDRESS
35	:	I-ADDRESS
36	03	I-ADDRESS
37	-	I-ADDRESS
38	402	I-ADDRESS
39	##10	I-ADDRESS
40	##27	I-ADDRESS
41	##6	O
42	gs	O
43	##t	O
44	id	O
45	:	O
46	000	O
47	##75	O
48	##0	O
49	##6	O
50	##7	O
51	##39	O
52	##20	O
53	simplified	O
54	tax	O
55	in	O
56	##vo	O
57	##ice	O
58	cash	O
59	doc	O
60	no	O
61	:	O
62	cs	O
63	##00	O
64	##00	O
65	##12	O
66	##65	O
67	##9	O
68	date	O
69	:	O
70	11	O
71	/	O
72	01	O
73	/	O
74	2018	O
75	cash	O
76	##ier	O
77	:	O
78	user	O
79	time	O
80	:	O
81	10	O
82	:	O
83	51	B-TOTAL
84	:	I-TOTAL
85	00	I-TOTAL
86	sales	I-TOTAL
87	##person	O
88	:	O
89	ref	O
90	.	O
91	:	O
92	item	O
93	q	O
94	##ty	O
95	s	O
96	/	O
97	price	O
98	amount	O
99	tax	O
100	151	O
101	##2	O
102	2	O
103	10	O
104	.	O
105	60	O
106	21	O
107	.	O
108	20	O
109	sr	O
110	104	O
111	cotton	O
112	glove	O
113	(	O
114	dozen	O
115	)	O
116	total	O
117	q	O
118	##ty	O
119	:	O
120	2	O
121	21	O
122	.	O
123	20	O
124	total	O
125	sales	O
126	(	O
127	excluding	O
128	gs	O
129	##t	O
130	)	O
131	:	O
132	20	O
133	.	O
134	00	O
135	discount	O
136	:	O
137	0	O
138	.	O
139	00	O
140	total	O
141	gs	O
142	##t	O
143	:	O
144	1	O
145	.	O
146	20	O
147	rounding	O
148	:	O
149	0	O
150	.	O
151	00	O
152	total	O
153	sales	O
154	(	O
155	inclusive	O
156	of	O
157	gs	O
158	##t	O
159	)	O
160	:	O
161	21	O
162	.	O
163	20	O
164	cash	O
165	:	O
166	21	O
167	.	O
168	20	O
169	change	O
170	:	O
171	0	O
172	.	O
173	00	O
174	gs	O
175	##t	O
176	summary	O
177	tax	O
178	code	O
179	%	O
180	am	O
181	##t	O
182	(	O
183	rm	O
184	)	O
185	tax	O
186	(	O
187	rm	O
188	)	O
189	sr	O
190	6	O
191	20	O
192	.	O
193	00	O
194	1	O
195	.	O
196	20	O
197	total	O
198	:	O
199	20	O
200	.	O
201	00	O
202	1	O
203	.	O
204	20	O
205	goods	O
206	sold	O
207	are	O
208	not	O
209	return	O
210	##able	O
211	,	O
212	thank	O
213	you	O
214	.	O
215		
0	hai	B-COMPANY
1	-	I-COMPANY
2	o	I-COMPANY
3	ray	I-COMPANY
4	##a	I-COMPANY
5	b	I-COMPANY
6	##hd	I-COMPANY
7	(	I-COMPANY
8	169	I-COMPANY
9	##19	O
10	##9	O
11	-	O
12	v	O
13	)	O
14	ke	O
15	##pon	O
16	##g	O
17	outlet	O
18	tel	O
19	/	O
20	fa	O
21	##x	O
22	:	O
23	03	O
24	-	O
25	62	O
26	##6	O
27	##36	O
28	##9	O
29	##7	O
30	##7	O
31	gs	O
32	##t	O
33	id	O
34	no	O
35	:	O
36	001	O
37	##60	O
38	##0	O
39	##8	O
40	##9	O
41	##29	O
42	##28	O
43	hq	O
44	add	O
45	:	O
46	lot	O
47	119	O
48	##9	O
49	##5	O
50	,	O
51	bat	O
52	##u	O
53	2	O
54	,	O
55	jalan	O
56	ka	B-ADDRESS
57	##par	I-ADDRESS
58	41	I-ADDRESS
59	##400	I-ADDRESS
60	klan	I-ADDRESS
61	##g	I-ADDRESS
62	,	I-ADDRESS
63	selangor	I-ADDRESS
64	date	I-ADDRESS
65	:	I-ADDRESS
66	15	I-ADDRESS
67	/	I-ADDRESS
68	12	I-ADDRESS
69	/	I-ADDRESS
70	2016	I-ADDRESS
71	10	I-ADDRESS
72	:	I-ADDRESS
73	24	I-ADDRESS
74	:	I-ADDRESS
75	42	I-ADDRESS
76	in	I-ADDRESS
77	##vo	O
78	##ice	O
79	no	O
80	:	B-TOTAL
81	115	I-TOTAL
82	##0	I-TOTAL
83	##8	I-TOTAL
84	##70	I-TOTAL
85	##5	I-TOTAL
86	herb	I-TOTAL
87	##y	O
88	pip	O
89	##a	O
90	gao	O
91	concentrate	O
92	-	O
93	tc	O
94	##m	O
95	47	O
96	.	O
97	70	O
98	sr	O
99	00	O
100	##58	O
101	##200	O
102	##9	O
103	##1	O
104	2	O
105	##x	O
106	26	O
107	.	O
108	5000	O
109	vip	O
110	disc	O
111	.	O
112	10	O
113	.	O
114	00	O
115	%	O
116	10	O
117	.	O
118	00	O
119	%	O
120	-	O
121	5	O
122	.	O
123	30	O
124	sub	O
125	##to	O
126	##tal	O
127	inc	O
128	##l	O
129	.	O
130	gs	O
131	##t	O
132	6	O
133	.	O
134	00	O
135	%	O
136	rm	O
137	47	O
138	.	O
139	70	O
140	rounding	O
141	ad	O
142	##j	O
143	rm	O
144	0	O
145	.	O
146	00	O
147	total	O
148	inc	O
149	##l	O
150	.	O
151	gs	O
152	##t	O
153	6	O
154	.	O
155	00	O
156	%	O
157	rm	O
158	47	O
159	.	O
160	70	O
161	terminal	O
162	:	O
163	p	O
164	##bb	O
165	visa	O
166	47	O
167	.	O
168	70	O
169	change	O
170	rm	O
171	0	O
172	.	O
173	00	O
174	gs	O
175	##t	O
176	summary	O
177	amount	O
178	(	O
179	rm	O
180	)	O
181	tax	O
182	(	O
183	rm	O
184	)	O
185	sr	O
186	@	O
187	6	O
188	.	O
189	00	O
190	%	O
191	45	O
192	.	O
193	00	O
194	2	O
195	.	O
196	70	O
197	q	O
198	##ty	O
199	:	O
200	2	O
201	01	O
202	107	O
203	ma	O
204	##h	O
205	th	O
206	##iam	O
207	hua	O
208	##t	O
209	5	O
210	branch	O
211	:	O
212	m	O
213	##00	O
214	##3	O
215	print	O
216	date	O
217	:	O
218	15	O
219	/	O
220	12	O
221	/	O
222	2016	O
223	10	O
224	:	O
225	24	O
226	:	O
227	42	O
228	vip	O
229	:	O
230	lee	O
231	mei	O
232	ye	O
233	##in	O
234	total	O
235	saving	O
236	:	O
237	rm	O
238	5	O
239	.	O
240	30	O
241	thank	O
242	you	O
243	,	O
244	please	O
245	come	O
246	again	O
247	.	O
248	goods	O
249	sold	O
250	are	O
251	not	O
252	ref	O
253	##unda	O
254	##ble	O
255	but	O
256	exchange	O
257	##able	O
258	at	O
259	store	O
260	of	O
261	purchase	O
262	within	O
263	7	O
264	days	O
265	with	O
266	original	O
267	receipt	O
268	and	O
269	product	O
270	in	O
271	original	O
272	condition	O
273	.	O
274	business	O
275	hours	O
276	:	O
277	mon	O
278	-	O
279	sun	O
280	08	O
281	:	O
282	30	O
283	-	O
284	21	O
285	:	O
286	30	O
287	visit	O
288	us	O
289	at	O
290	http	O
291	:	O
292	/	O
293	/	O
294	www	O
295	.	O
296	hai	O
297	-	O
298	o	O
299	.	O
300	com	O
301	.	O
302	my	O
303		
0	ai	B-COMPANY
1	##k	I-COMPANY
2	hua	I-COMPANY
3	##t	I-COMPANY
4	hardware	I-COMPANY
5	enterprise	I-COMPANY
6	(	I-COMPANY
7	set	I-COMPANY
8	##ia	I-COMPANY
9	alam	I-COMPANY
10	)	I-COMPANY
11	sd	I-COMPANY
12	##n	I-COMPANY
13	b	I-COMPANY
14	##hd	I-COMPANY
15	82	I-COMPANY
16	##27	I-COMPANY
17	##37	I-COMPANY
18	-	I-COMPANY
19	x	O
20	no	O
21	.	O
22	17	O
23	-	O
24	g	O
25	,	O
26	jalan	O
27	set	B-ADDRESS
28	##ia	I-ADDRESS
29	ind	I-ADDRESS
30	##ah	I-ADDRESS
31	(	I-ADDRESS
32	x	I-ADDRESS
33	)	I-ADDRESS
34	u	I-ADDRESS
35	##13	I-ADDRESS
36	/	I-ADDRESS
37	x	I-ADDRESS
38	,	I-ADDRESS
39	set	I-ADDRESS
40	##ia	I-ADDRESS
41	alam	I-ADDRESS
42	,	I-ADDRESS
43	se	I-ADDRESS
44	##ks	I-ADDRESS
45	##yen	I-ADDRESS
46	u	I-ADDRESS
47	##13	I-ADDRESS
48	,	I-ADDRESS
49	401	I-ADDRESS
50	##70	I-ADDRESS
51	shah	I-ADDRESS
52	alam	I-ADDRESS
53	,	I-ADDRESS
54	tel	I-ADDRESS
55	:	I-ADDRESS
56	01	I-ADDRESS
57	##2	I-ADDRESS
58	-	I-ADDRESS
59	66	I-ADDRESS
60	##51	I-ADDRESS
61	##7	I-ADDRESS
62	##8	I-ADDRESS
63	##3	I-ADDRESS
64	fa	I-ADDRESS
65	##x	I-ADDRESS
66	:	I-ADDRESS
67	03	I-ADDRESS
68	-	I-ADDRESS
69	336	O
70	##23	O
71	##60	O
72	##8	O
73	gs	O
74	##t	O
75	no	O
76	:	O
77	000	O
78	##39	O
79	##45	O
80	##28	O
81	##7	O
82	##6	O
83	##8	O
84	simplified	O
85	tax	O
86	in	O
87	##vo	O
88	##ice	O
89	cash	O
90	receipt	O
91	#	O
92	:	O
93	cs	O
94	##p	O
95	##0	O
96	##38	O
97	##23	O
98	##9	O
99	##8	O
100	date	O
101	:	O
102	30	O
103	/	O
104	03	O
105	/	O
106	2017	O
107	sales	O
108	##person	O
109	:	O
110	ah	O
111	##00	O
112	##2	O
113	time	O
114	:	O
115	16	O
116	:	O
117	44	O
118	:	O
119	00	O
120	item	O
121	q	B-TOTAL
122	##ty	I-TOTAL
123	u	I-TOTAL
124	/	I-TOTAL
125	p	I-TOTAL
126	amount	I-TOTAL
127	(	O
128	rm	O
129	)	O
130	(	O
131	rm	O
132	)	O
133	65	O
134	##21	O
135	##00	O
136	##00	O
137	##00	O
138	##00	O
139	##8	O
140	1	O
141	6	O
142	.	O
143	00	O
144	6	O
145	.	O
146	00	O
147	s	O
148	8	O
149	""""	O
150	x	O
151	3	O
152	.	O
153	6	O
154	##mm	O
155	(	O
156	100	O
157	##pc	O
158	##s	O
159	)	O
160	black	O
161	cable	O
162	ties	O
163	total	O
164	quantity	O
165	1	O
166	sub	O
167	-	O
168	total	O
169	(	O
170	gs	O
171	##t	O
172	)	O
173	6	O
174	.	O
175	00	O
176	disc	O
177	0	O
178	.	O
179	00	O
180	rounding	O
181	0	O
182	.	O
183	00	O
184	total	O
185	6	O
186	.	O
187	00	O
188	cash	O
189	20	O
190	.	O
191	00	O
192	change	O
193	14	O
194	.	O
195	00	O
196	*	O
197	gs	O
198	##t	O
199	@	O
200	6	O
201	%	O
202	included	O
203	in	O
204	total	O
205	gs	O
206	##t	O
207	summary	O
208	code	O
209	amount	O
210	%	O
211	tax	O
212	/	O
213	am	O
214	##t	O
215	sr	O
216	5	O
217	.	O
218	66	O
219	6	O
220	0	O
221	.	O
222	34	O
223	tax	O
224	total	O
225	:	O
226	0	O
227	.	O
228	34	O
229	goods	O
230	sold	O
231	are	O
232	not	O
233	ref	O
234	##unda	O
235	##ble	O
236	,	O
237	thank	O
238	you	O
239	for	O
240	choosing	O
241	us	O
242	.	O
243	pl	O
244	##s	O
245	provide	O
246	original	O
247	bill	O
248	for	O
249	goods	O
250	exchange	O
251	within	O
252	1	O
253	week	O
254	from	O
255	transaction	O
256	goods	O
257	must	O
258	be	O
259	in	O
260	original	O
261	state	O
262	to	O
263	be	O
264	entitled	O
265	for	O
266	exchange	O
267	.	O
268		
0	lim	B-COMPANY
1	sen	I-COMPANY
2	##g	I-COMPANY
3	tho	I-COMPANY
4	hardware	I-COMPANY
5	trading	I-COMPANY
6	no	I-COMPANY
7	7	I-COMPANY
8	.	I-COMPANY
9	sim	O
10	##pan	B-ADDRESS
11	##g	I-ADDRESS
12	off	I-ADDRESS
13	bat	I-ADDRESS
14	##u	I-ADDRESS
15	village	I-ADDRESS
16	.	I-ADDRESS
17	jalan	I-ADDRESS
18	ip	I-ADDRESS
19	##oh	I-ADDRESS
20	bat	I-ADDRESS
21	##u	I-ADDRESS
22	5	I-ADDRESS
23	.	I-ADDRESS
24	512	I-ADDRESS
25	##00	I-ADDRESS
26	kuala	I-ADDRESS
27	lumpur	I-ADDRESS
28	malaysia	I-ADDRESS
29	te	I-ADDRESS
30	##i	I-ADDRESS
31	&	I-ADDRESS
32	fa	I-ADDRESS
33	##x	I-ADDRESS
34	no	I-ADDRESS
35	:	I-ADDRESS
36	03	I-ADDRESS
37	-	I-ADDRESS
38	625	I-ADDRESS
39	##8	I-ADDRESS
40	71	I-ADDRESS
41	##9	O
42	##1	O
43	03	O
44	-	O
45	625	O
46	##8	O
47	71	O
48	##9	O
49	##1	O
50	company	O
51	reg	O
52	no	O
53	.	O
54	:	O
55	(	O
56	00	O
57	##22	O
58	##31	O
59	##0	O
60	##6	O
61	##1	O
62	-	O
63	t	O
64	)	O
65	gs	O
66	##t	O
67	reg	O
68	no	O
69	.	O
70	:	O
71	001	O
72	##26	O
73	##90	O
74	##75	O
75	##9	O
76	##6	O
77	##8	O
78	tax	O
79	in	O
80	##vo	O
81	##ice	O
82	in	O
83	##vo	O
84	##ice	O
85	no	O
86	:	O
87	cs	O
88	233	O
89	##0	O
90	##4	O
91	date	O
